schema_name;table_name;row_count
dbo;SUBJVTSUBJ;28641
dbo;XXOBJEDNOBED;28361
dbo;SUBJEKT;26506
dbo;SUBJEKTADD;26232
dbo;ZBOZI;25996
dbo;UCETVRADKU;25215
dbo;SUBJOSOBAADD;25183
dbo;ZBOZIADD;20547
dbo;XXABCNAKPLAN;20262
dbo;XXPRODFOKUSZBOZ;19807
dbo;XXPRUMMNDODACIDAVKATB;19787
dbo;XXTRSKUPZBOZI;19702
dbo;XXPROTOKOLKALKCEN;18149
dbo;IMPORTBAV;17506
dbo;ZBOZSKLADD;17184
dbo;QSumUUcetZap;17051
dbo;BAVHLAV;16433
dbo;QSumProVykazESO9;15876
dbo;XXSKUPTDMZB;14068
dbo;XXPOHSLMZDY;13956
dbo;XXVARKUSHIS;13866
dbo;XXBASELINKERLOG;13826
dbo;XXEDIPROTOKOL;13436
dbo;XXTOURPLANDM;13041
dbo;SUBJBUCET;12604
dbo;XXVARKUS;12549
dbo;FIFO_SARZE;12514
dbo;XXDENNIPLANOZ;12237
dbo;XXVYPADKYZASOBDETAIL;12234
dbo;XXPRITHODMZ;11918
dbo;XXDMFREKNAV;11680
dbo;BAV;11641
dbo;XXUKAZMUSTRED;11089
dbo;DESCRCOL;10915
dbo;OBJPROC_ENCRYPT;10439
dbo;XXSUBJEKTAD;9445
dbo;SUBJPOZN;8816
dbo;XXARGARTIKLU;8747
dbo;XXUDALOSTVAZBA;8566
dbo;XXPLNPOLDISTR_DN;8161
dbo;SUMRADEK;7918
dbo;XXMCHDTDM;7483
dbo;XXUMISTZBOZI;7430
dbo;XXOBCHPODM;7373
dbo;SUMUCETZAPW;7356
dbo;XXPLNPOLDISTR_DM;7282
dbo;XXZPRACERI;7282
dbo;KURSL;6893
dbo;XXZBOZISOUVIS;6827
dbo;ZBOZICAM;6711
dbo;UMIST;6310
dbo;UMISTADD;6310
dbo;sysssislog;6067
dbo;HISDPH;5975
dbo;XXZBOZIOBR;5762
dbo;XXVYPADKYZASOB;5549
dbo;XXPRODUKTDM;5472
dbo;W_NespUZ;5307
dbo;PSC;5234
dbo;XXDOPRAVA_SPOCT;5227
dbo;XXZBOZIVERSUR;5216
dbo;ESO8CHANGE;5021
dbo;XXSMS;5008
dbo;XXPOSLDODAVKA_BU;4876
dbo;XXUKAZMUOBMS;4728
dbo;XXPOHLEDAVKY;4603
dbo;XXEFEKTIVITANAKUPU;4494
dbo;ZBOZIKALKULACEFRONTA;4462
dbo;DPHOFFLINE;4454
dbo;BAVA;4313
dbo;xxplansdok2;4300
dbo;UZIVOBJ;4239
dbo;DFPCHYBY;4079
dbo;XXPRODEJVEDNI;3660
dbo;XXABCPRUMNAKUP;3563
dbo;DESCRVIEWCOL;3465
dbo;XXKONKNADM;3344
dbo;XXMERKVALITY;3330
dbo;STRPRAVA;3295
dbo;XXTARGRADYART;3281
dbo;BUSINESSROLE;3200
dbo;XXPODSORPOLKALK;3184
dbo;XXUKAZMUPLMS;3120
dbo;VYKAZTRAN;3102
dbo;XXPODNET;3028
dbo;RADEKVYKAZU;2924
dbo;XXABCPOCETON12;2905
dbo;XXABCPRODZBO12;2905
dbo;XXEKOLPOPLSAZBA;2727
dbo;ZBOZIVMJADD;2640
dbo;CINNOSTFAV;2571
dbo;DESCRKEYCOL;2553
dbo;VYKAZDEF;2523
dbo;SUMUCETZAP;2449
dbo;XXTOURPLANOZ;2342
dbo;XXEFEKTIVITA;2331
dbo;XXSUBJEKTVOP;2318
dbo;xrozpadprovyrobu;2200
dbo;KRZAVPOHL;2198
dbo;CISRAD_ERR;2085
dbo;UCETZAPPLAN;2031
dbo;UPUS;1995
dbo;XXRADAARTIKLU;1982
dbo;zbzal;1971
dbo;DESCRVIEWTABLE;1949
dbo;XXKONKNADMZJIST;1910
dbo;WZBOZI_EVPRECEN;1796
dbo;PLANODPISU;1791
dbo;XXOBCHPODKOREKCE;1760
dbo;SubjKanPom;1756
dbo;DESCRKEY;1644
dbo;FCHANGE;1622
dbo;DESCRREL;1611
dbo;XXTYPUDALOSTI;1609
dbo;WEBSTR;1603
dbo;XXTOURPLAN;1555
dbo;XXMAPSUBJADR;1540
dbo;CINPROSKUP;1522
dbo;PLATKART;1516
