parent_schema;parent_table;parent_column;foreign_key_name;referenced_schema;referenced_table;referenced_column;delete_action;update_action
dbo;XXPARAMUKOL;IDXXPROMENPROCESU;XXPARAMUKOL_XXPROMENPROCESU;dbo;XXPROMENPROCESU;IDXXPROMENPROCESU;NO_ACTION;NO_ACTION
dbo;XXPARHODPAK;IDXXPOLEANALZAK;XXPARHODPAK_XXPOLEANALZAK;dbo;XXPOLEANALZAK;IDXXPOLEANALZAK;NO_ACTION;NO_ACTION
dbo;XXPARHODPAKSEGMZAK;IDCENSKUP;XXPARHODPAKSEGMZAK_CENSKUP;dbo;CENSKUP;IDCENSKUP;NO_ACTION;NO_ACTION
dbo;XXPARHODPAKSEGMZAK;IDXXPARHODPAK;XXPARHODPAKSEGMZAK_XXPARHODPAK;dbo;XXPARHODPAK;IDXXPARHODPAK;NO_ACTION;NO_ACTION
dbo;XXPARHODPAKSEGMZAK;IDXXSEGMZAKAZNIKA;XXPARHODPAKSEGMZAK_XXSEGMZAKAZNIKA;dbo;XXSEGMZAKAZNIKA;IDXXSEGMZAKAZNIKA;NO_ACTION;NO_ACTION
dbo;XXPARPROCES;IDXXPROCES;XXPARPROCES_XXPROCES;dbo;XXPROCES;IDXXPROCES;NO_ACTION;NO_ACTION
dbo;XXPARTYPDESPOZ;IDXXPARDESPOZ;XXPARTYPDESPOZ_XXPARDESPOZ;dbo;XXPARDESPOZ;IDXXPARDESPOZ;NO_ACTION;NO_ACTION
dbo;XXPARTYPDESPOZ;IDXXTYPDESPOZ;XXPARTYPDESPOZ_XXTYPDESPOZ;dbo;XXTYPDESPOZ;IDXXTYPDESPOZ;NO_ACTION;NO_ACTION
dbo;XXPLANAKTIVOZ;IDSUBJADR;XXPLANAKTIVOZ_SUBJADR;dbo;SUBJADR;IDSUBJADR;NO_ACTION;NO_ACTION
dbo;XXPLANAKTIVOZ;IDXXDENNIPLANOZ;XXPLANAKTIVOZ_XXDENNIPLANOZ;dbo;XXDENNIPLANOZ;IDXXDENNIPLANOZ;NO_ACTION;NO_ACTION
dbo;XXPLANAKTIVOZ;IDXXOSTCINOZ;XXPLANAKTIVOZ_XXOSTCINOZ;dbo;XXOSTCINOZ;IDXXOSTCINOZ;NO_ACTION;NO_ACTION
dbo;XXPLANAKTIVOZ;IDXXTYPDODMIST;XXPLANAKTIVOZ_XXTYPDODMIST;dbo;XXTYPDODMIST;IDXXTYPDODMIST;NO_ACTION;NO_ACTION
dbo;XXPLANMATTOKU;IDCENSKUP;XXPLANMATTOKU_CENSKUP;dbo;CENSKUP;IDCENSKUP;NO_ACTION;NO_ACTION
dbo;XXPLANMATTOKU;IDMJ;XXPLANMATTOKU_MJ;dbo;MJ;IDMJ;NO_ACTION;NO_ACTION
dbo;XXPLANMATTOKU;IDSKLAD;XXPLANMATTOKU_SKLAD;dbo;SKLAD;IDSKLAD;NO_ACTION;NO_ACTION
dbo;XXPLANMATTOKU;IDSUBJADR;XXPLANMATTOKU_SUBJADR;dbo;SUBJADR;IDSUBJADR;NO_ACTION;NO_ACTION
dbo;XXPLANMATTOKU;IDSUBJEKT_DOD;XXPLANMATTOKU_SUBJEKT_DOD;dbo;SUBJEKT;IDSUBJEKT;NO_ACTION;NO_ACTION
dbo;XXPLANMATTOKU;IDSUBJEKT_DOD_KOR;XXPLANMATTOKU_SUBJEKT_DOD_KOR;dbo;SUBJEKT;IDSUBJEKT;NO_ACTION;NO_ACTION
dbo;XXPLANMATTOKU;IDSUBJEKT_DOD_OPT;XXPLANMATTOKU_SUBJEKT_DOD_OPT;dbo;SUBJEKT;IDSUBJEKT;NO_ACTION;NO_ACTION
dbo;XXPLANMATTOKU;IDXXVYRFORMAT;XXPLANMATTOKU_XXVYRFORMAT;dbo;XXVYRFORMAT;IDXXVYRFORMAT;NO_ACTION;NO_ACTION
dbo;XXPLANMATTOKU;IDXXVYRFORMAT_KOR;XXPLANMATTOKU_XXVYRFORMAT_KOR;dbo;XXVYRFORMAT;IDXXVYRFORMAT;NO_ACTION;NO_ACTION
dbo;XXPLANMATTOKU;IDXXVYRFORMAT_OPT;XXPLANMATTOKU_XXVYRFORMAT_OPT;dbo;XXVYRFORMAT;IDXXVYRFORMAT;NO_ACTION;NO_ACTION
dbo;XXPLANMATTOKU;IDZBOZI;XXPLANMATTOKU_ZBOZI;dbo;ZBOZI;IDZBOZI;NO_ACTION;NO_ACTION
dbo;XXPLANMATTOKU;IDZBOZSKL;XXPLANMATTOKU_ZBOZSKL;dbo;ZBOZSKL;IDZBOZSKL;NO_ACTION;NO_ACTION
dbo;XXPLANMATTOKU2;IDCENSKUP;XXPLANMATTOKU2_CENSKUP;dbo;CENSKUP;IDCENSKUP;NO_ACTION;NO_ACTION
dbo;XXPLANMATTOKU2;IDMJ;XXPLANMATTOKU2_MJ;dbo;MJ;IDMJ;NO_ACTION;NO_ACTION
dbo;XXPLANMATTOKU2;IDSKLAD;XXPLANMATTOKU2_SKLAD;dbo;SKLAD;IDSKLAD;NO_ACTION;NO_ACTION
dbo;XXPLANMATTOKU2;IDSUBJADR;XXPLANMATTOKU2_SUBJADR;dbo;SUBJADR;IDSUBJADR;NO_ACTION;NO_ACTION
dbo;XXPLANMATTOKU2;IDZBOZI;XXPLANMATTOKU2_ZBOZI;dbo;ZBOZI;IDZBOZI;NO_ACTION;NO_ACTION
dbo;XXPLANMATTOKU2;IDZBOZSKL;XXPLANMATTOKU2_ZBOZSKL;dbo;ZBOZSKL;IDZBOZSKL;NO_ACTION;NO_ACTION
dbo;XXPLANPREDZASOB;idzbozi;XXPLANPREDZASOB_ZBOZI;dbo;ZBOZI;IDZBOZI;NO_ACTION;NO_ACTION
dbo;XXPLANPRODEJU;IDCENSKUP;XXPLANPRODEJU_CENSKUP;dbo;CENSKUP;IDCENSKUP;NO_ACTION;NO_ACTION
dbo;XXPLANPRODEJU;IDUZIVATEL_POB;XXPLANPRODEJU_IDUZIVATEL_POB;dbo;UZIVATEL;IDUZIVATEL;NO_ACTION;NO_ACTION
dbo;XXPLANPRODEJU;IDMJ;XXPLANPRODEJU_MJ;dbo;MJ;IDMJ;NO_ACTION;NO_ACTION
dbo;XXPLANPRODEJU;IDSKLAD;XXPLANPRODEJU_SKLAD;dbo;SKLAD;IDSKLAD;NO_ACTION;NO_ACTION
dbo;XXPLANPRODEJU;IDSUBJADR;XXPLANPRODEJU_SUBJADR;dbo;SUBJADR;IDSUBJADR;NO_ACTION;NO_ACTION
dbo;XXPLANPRODEJU;IDSUBJEKT;XXPLANPRODEJU_SUBJEKT;dbo;SUBJEKT;IDSUBJEKT;NO_ACTION;NO_ACTION
dbo;XXPLANPRODEJU;IDSUBJEKT_DI;XXPLANPRODEJU_SUBJEKT_DI;dbo;SUBJEKT;IDSUBJEKT;NO_ACTION;NO_ACTION
dbo;XXPLANPRODEJU;IDXXLISTING;XXPLANPRODEJU_XXLISTING;dbo;XXLISTING;IDXXLISTING;NO_ACTION;NO_ACTION
dbo;XXPLANPRODEJU;IDZBOZI;XXPLANPRODEJU_ZBOZI;dbo;ZBOZI;IDZBOZI;NO_ACTION;NO_ACTION
dbo;XXPLANPRODEJU;IDZBOZSKL;XXPLANPRODEJU_ZBOZSKL;dbo;ZBOZSKL;IDZBOZSKL;NO_ACTION;NO_ACTION
dbo;XXPLATINZERCE;IDXXPOZINZERCE;XXPLATINZERCE_XXPOZINZERCE;dbo;XXPOZINZERCE;IDXXPOZINZERCE;NO_ACTION;NO_ACTION
dbo;XXPLNMCHD;IDXXMCHD;XXPLNMCHD_XXMCHD;dbo;XXMCHD;IDXXMCHD;NO_ACTION;NO_ACTION
dbo;XXPLNMCHD;IDXXNAVSTEVAOZ;XXPLNMCHD_XXNAVSTEVAOZ;dbo;XXNAVSTEVAOZ;IDXXNAVSTEVAOZ;NO_ACTION;NO_ACTION
dbo;XXPLNMCHD;IDXXSUBJADRPPP;XXPLNMCHD_XXSUBJADRPPP;dbo;XXSUBJADRPPP;IDXXSUBJADRPPP;NO_ACTION;NO_ACTION
dbo;XXPLNPOLDISTR;IDXXNAVSTEVAOZ;XXPLNPOLDISTR_XXNAVSTEVAOZ;dbo;XXNAVSTEVAOZ;IDXXNAVSTEVAOZ;NO_ACTION;NO_ACTION
dbo;XXPLNPOLDISTR;IDZBOZI;XXPLNPOLDISTR_ZBOZI;dbo;ZBOZI;IDZBOZI;NO_ACTION;NO_ACTION
dbo;XXPLNUKOLOZ;IDXXNAVSTEVAOZ;XXPLNUKOLOZ_XXNAVSTEVAOZ;dbo;XXNAVSTEVAOZ;IDXXNAVSTEVAOZ;NO_ACTION;NO_ACTION
dbo;XXPLNUKOLOZ;IDXXZADANIUKOLOZ;XXPLNUKOLOZ_XXZADANIUKOLOZ;dbo;XXZADANIUKOLOZ;IDXXZADANIUKOLOZ;NO_ACTION;NO_ACTION
dbo;XXPLPRODPODSOR;IDXXPODNETSOR;XXPLPRODPODSOR_XXPODNETSOR;dbo;XXPODNETSOR;IDXXPODNETSOR;NO_ACTION;NO_ACTION
dbo;XXPLPRODPODSORKANIB;IDXXPLPRODPODSOR;XXPLPRODPODSORKANIB_XXPLPRODPODSOR;dbo;XXPLPRODPODSOR;IDXXPLPRODPODSOR;NO_ACTION;NO_ACTION
dbo;XXPLPRODPODSORKANIB;IDXXPODNETSOR;XXPLPRODPODSORKANIB_XXPODNETSOR;dbo;XXPODNETSOR;IDXXPODNETSOR;NO_ACTION;NO_ACTION
dbo;XXPODKATZBOZI;IDXXKATZBOZI;XXPODKATZBOZI_XXKATZBOZI;dbo;XXKATZBOZI;IDXXKATZBOZI;NO_ACTION;NO_ACTION
dbo;XXPODKATZBOZI;IDZBOZI;XXPODKATZBOZI_ZBOZI;dbo;ZBOZI;IDZBOZI;NO_ACTION;NO_ACTION
dbo;XXPODNET;IDOBECCIS;XXPODNET_OBECCIS;dbo;OBECCIS;IDOBECCIS;NO_ACTION;NO_ACTION
dbo;XXPODNET;IDSKUPUZIV_R;XXPODNET_SKUPUZIV_R;dbo;SKUPUZIV;IDSKUPUZIV;NO_ACTION;NO_ACTION
dbo;XXPODNET;IDSKUPZBOZI;XXPODNET_SKUPZBOZI;dbo;SKUPZBOZI;IDSKUPZBOZI;NO_ACTION;NO_ACTION
dbo;XXPODNET;IDSUBJADR;XXPODNET_SUBJADR;dbo;SUBJADR;IDSUBJADR;NO_ACTION;NO_ACTION
dbo;XXPODNET;IDUZIVATEL_N;XXPODNET_UZIVATEL_N;dbo;UZIVATEL;IDUZIVATEL;NO_ACTION;NO_ACTION
dbo;XXPODNET;IDUZIVATEL_R;XXPODNET_UZIVATEL_R;dbo;UZIVATEL;IDUZIVATEL;NO_ACTION;NO_ACTION
dbo;XXPODNET;IDUZIVATEL_VN;XXPODNET_UZIVATEL_VN;dbo;UZIVATEL;IDUZIVATEL;NO_ACTION;NO_ACTION
dbo;XXPODNET;IDUZIVATEL_Z;XXPODNET_UZIVATEL_Z;dbo;UZIVATEL;IDUZIVATEL;NO_ACTION;NO_ACTION
dbo;XXPODNET;IDXXPODNET_P;XXPODNET_XXPODNET_P;dbo;XXPODNET;IDXXPODNET;NO_ACTION;NO_ACTION
dbo;XXPODNET;IDXXTYPPODNETU;XXPODNET_XXTYPPODNETU;dbo;XXTYPPODNETU;IDXXTYPPODNETU;NO_ACTION;NO_ACTION
dbo;XXPODNETSOR;IDCELSAZ;XXPODNETSOR_CELSAZ;dbo;CELSAZ;IDCELSAZ;NO_ACTION;NO_ACTION
dbo;XXPODNETSOR;IDHDOK;XXPODNETSOR_HDOK;dbo;HDOK;IDHDOK;NO_ACTION;NO_ACTION
dbo;XXPODNETSOR;IDSKUPZBOZI;XXPODNETSOR_SKUPZBOZI;dbo;SKUPZBOZI;IDSKUPZBOZI;NO_ACTION;NO_ACTION
dbo;XXPODNETSOR;IDXXPODSKUPZBOZI;XXPODNETSOR_XXPODSKUPZBOZI;dbo;XXPODSKUPZBOZI;IDXXPODSKUPZBOZI;NO_ACTION;NO_ACTION
dbo;XXPODNETSOR;IDZBOZI;XXPODNETSOR_ZBOZI;dbo;ZBOZI;IDZBOZI;NO_ACTION;NO_ACTION
dbo;XXPODNETSOR;IDZBOZI_BA;XXPODNETSOR_ZBOZI_BA;dbo;ZBOZI;IDZBOZI;NO_ACTION;NO_ACTION
dbo;XXPODNETSOR;IDZBOZI_BC;XXPODNETSOR_ZBOZI_BC;dbo;ZBOZI;IDZBOZI;NO_ACTION;NO_ACTION
dbo;XXPODNETSOR;IDZBOZI_DE;XXPODNETSOR_ZBOZI_DE;dbo;ZBOZI;IDZBOZI;NO_ACTION;NO_ACTION
dbo;XXPODNETSOR;IDZBOZI_KA;XXPODNETSOR_ZBOZI_KA;dbo;ZBOZI;IDZBOZI;NO_ACTION;NO_ACTION
